Channel ID, Channel Name, Link
UCW6Zc3v5s98ULqXsjYhdomg, DjBeatmaster207, https://www.youtube.com/channel/UCW6Zc3v5s98ULqXsjYhdomg
UCGkzJmg31dgczktvAikK7Qg, Free is in Da House, https://www.youtube.com/user/FreeisinDaHouseAgain
UCUUT3oVa1962KAEUaQFZssA, Abstructure, https://www.youtube.com/channel/UCUUT3oVa1962KAEUaQFZssA
UCL6upWF6fchig2V4PnPhQuQ, Underground Sounds M, https://www.youtube.com/channel/UCL6upWF6fchig2V4PnPhQuQ
UCRRFqibX5ug-opYWTSTuk5A, Dubstep Classics, https://www.youtube.com/channel/UCRRFqibX5ug-opYWTSTuk5A
UCukVH2Rk4os9rDaU3skW63w, BlueDollarBillz, https://www.youtube.com/channel/UCukVH2Rk4os9rDaU3skW63w
UCByc6t1_4qS1GA7Y-5bLEzg, The W.A.P Station, https://www.youtube.com/channel/UCByc6t1_4qS1GA7Y-5bLEzg
UCN0tf4JrpZDPDlg2l9DusRg, Backintday, https://www.youtube.com/channel/UCN0tf4JrpZDPDlg2l9DusRg
UCb6aXYwANo9ErAF4be73jbA, HouseMaster, https://www.youtube.com/channel/UCb6aXYwANo9ErAF4be73jbA
UC6APkFufZN811VasxTvxvYg, Retro Trance Addict Belgium, https://www.youtube.com/channel/UC6APkFufZN811VasxTvxvYg
UC54aKpWtaxvZQK7KHg34Btw, Cristian M., https://www.youtube.com/channel/UC54aKpWtaxvZQK7KHg34Btw
UCLSsG4tdHcD5EpT9FvQnW9g, Seed, https://www.youtube.com/channel/UCLSsG4tdHcD5EpT9FvQnW9g
UCRYWRlxXWMkrswUs5yoSO3g, Oldskool Flavaz, https://www.youtube.com/channel/UCRYWRlxXWMkrswUs5yoSO3g
UC3qcXwTEMWFpXU_9A8iLiMg, DuffMcshark80, https://www.youtube.com/channel/UC3qcXwTEMWFpXU_9A8iLiMg
UC8UX3iKXSAjqwxTktzkOUpA, BackToOldNight, https://www.youtube.com/channel/UC8UX3iKXSAjqwxTktzkOUpA
UC1CAPfEZv9a0cg7Pkyp54cA, TMF90Dance, https://www.youtube.com/channel/UC1CAPfEZv9a0cg7Pkyp54cA
UCR1wPHPaLSykj0XG9IKtnVA, DeeperFunk McMa, https://www.youtube.com/channel/UCR1wPHPaLSykj0XG9IKtnVA
