yt_channel_id (S),yt_published_at (S),yt_track_id (S),yt_track_name (S),spotify_found_time (S),spotify_playlist (S),spotify_uri (S)
UCL4J20Y1UpQGttcNXMB2j9Q,2010-04-05T18:45:34.000Z,VVVMNEoyMFkxVXBRR3R0Y05YTUIyajlRLnFnUklaMzFCbE9Z,Om - Here Comes The Sun (1993),2020-01-23T00:18:56.842947+00:00,7GlxpQjjxRjmbb3RP2rDqI,spotify:track:0HbC4JtysT1fbaDJfV5EiS
UCL4J20Y1UpQGttcNXMB2j9Q,2010-04-06T00:25:52.000Z,VVVMNEoyMFkxVXBRR3R0Y05YTUIyajlRLlhvSVUtX25lajk0,Om - Be Here Now (1993),2019-12-01T04:58:51.498131+00:00,7GlxpQjjxRjmbb3RP2rDqI,spotify:track:4XRPKH55qZWmBAD3XG5N1P
UCL4J20Y1UpQGttcNXMB2j9Q,2010-04-06T11:38:41.000Z,VVVMNEoyMFkxVXBRR3R0Y05YTUIyajlRLmw1djk3RUpDSzZV,Groove Connexion - Electrical Dream (Jones & Stephenson After-Hour Remix),,,
UCL4J20Y1UpQGttcNXMB2j9Q,2010-04-06T15:19:31.000Z,VVVMNEoyMFkxVXBRR3R0Y05YTUIyajlRLkZJS0lnQVNNbnFj,Hypnopedia - Cario (1992),2019-12-01T04:58:52.277834+00:00,7GlxpQjjxRjmbb3RP2rDqI,spotify:track:1phICY7BU0GIKXHqAKPYmn
UCL4J20Y1UpQGttcNXMB2j9Q,2010-04-06T17:14:17.000Z,VVVMNEoyMFkxVXBRR3R0Y05YTUIyajlRLk1QampVWVpjcmd3,Psyclan - Energy Flux (1995),,,
UCL4J20Y1UpQGttcNXMB2j9Q,2010-04-07T00:37:54.000Z,VVVMNEoyMFkxVXBRR3R0Y05YTUIyajlRLkNORXBFQTlPaFIw,Nico - Anouk (1996),,,
UCL4J20Y1UpQGttcNXMB2j9Q,2010-04-07T00:55:50.000Z,VVVMNEoyMFkxVXBRR3R0Y05YTUIyajlRLjZmWkZsSUt0R1VJ,Reel X - Feels Good (1994),,,
UCL4J20Y1UpQGttcNXMB2j9Q,2010-04-07T01:22:22.000Z,VVVMNEoyMFkxVXBRR3R0Y05YTUIyajlRLk9WTmhiYmtVVDkw,Nico - Octagon (1996),,,
UCL4J20Y1UpQGttcNXMB2j9Q,2010-04-07T13:39:50.000Z,VVVMNEoyMFkxVXBRR3R0Y05YTUIyajlRLjNRTnA4dXFhd2JJ,Alter Ego - Soulfree (1994),2019-12-01T04:58:53.518035+00:00,7GlxpQjjxRjmbb3RP2rDqI,spotify:track:4U7tTXAvow0Z1bhUSTPW82
UCL4J20Y1UpQGttcNXMB2j9Q,2010-04-07T14:00:01.000Z,VVVMNEoyMFkxVXBRR3R0Y05YTUIyajlRLllQb190c3hxR3k4,Norman - Go Ahead In The Rain (1995),,,
UCL4J20Y1UpQGttcNXMB2j9Q,2010-04-07T18:31:06.000Z,VVVMNEoyMFkxVXBRR3R0Y05YTUIyajlRLlFFcVNaVzVmS3Uw,Karl Biscuit - Hierophone (Avalon Remix),,,
UCL4J20Y1UpQGttcNXMB2j9Q,2010-04-09T13:50:16.000Z,VVVMNEoyMFkxVXBRR3R0Y05YTUIyajlRLm4zRU50LWw4U2Nv,Xylon - Send Me An Alien (1997),2020-01-25T00:10:55.806514+00:00,7GlxpQjjxRjmbb3RP2rDqI,spotify:track:3aueHrogH6sKEOKSQvNIVS
UCL4J20Y1UpQGttcNXMB2j9Q,2010-04-09T19:16:09.000Z,VVVMNEoyMFkxVXBRR3R0Y05YTUIyajlRLkx2WnkyTm5iSExV,Ectomorph - Eye Of The Beholder (1996),2019-12-01T04:58:54.618050+00:00,7GlxpQjjxRjmbb3RP2rDqI,spotify:track:4NWBXWXvRYHHIpvN3mMNfq
UCL4J20Y1UpQGttcNXMB2j9Q,2010-04-09T21:09:13.000Z,VVVMNEoyMFkxVXBRR3R0Y05YTUIyajlRLkZUUkFwdXFoOHdv,Ultrahigh - It's Time (1994),2020-01-23T00:18:57.922913+00:00,7GlxpQjjxRjmbb3RP2rDqI,spotify:track:6vhsaEVRBFRiXWDNvBaNnw
UCL4J20Y1UpQGttcNXMB2j9Q,2010-04-09T22:32:33.000Z,VVVMNEoyMFkxVXBRR3R0Y05YTUIyajlRLmlkcEgxMTBkZThv,Hole In One - Amrad In The 7th Phase (Ferr's Subliminal Recut),,,
UCL4J20Y1UpQGttcNXMB2j9Q,2010-04-10T00:38:51.000Z,VVVMNEoyMFkxVXBRR3R0Y05YTUIyajlRLmZwZTMxbldBbHg4,Nemesis - Xcelsior (1994),,,
UCL4J20Y1UpQGttcNXMB2j9Q,2010-04-10T01:00:54.000Z,VVVMNEoyMFkxVXBRR3R0Y05YTUIyajlRLjVmRGUwdjV2amtv,Head-Doctor - Outpatient (1994),,,
UCL4J20Y1UpQGttcNXMB2j9Q,2010-04-10T01:19:45.000Z,VVVMNEoyMFkxVXBRR3R0Y05YTUIyajlRLjhUVEVFUDRWYXlF,Emojonal - Mantral Xtension (1992),,,
UCL4J20Y1UpQGttcNXMB2j9Q,2010-04-10T10:42:39.000Z,VVVMNEoyMFkxVXBRR3R0Y05YTUIyajlRLlJzaDNtUllISGt3,Tranceparents - Child Five (1993),,,
UCL4J20Y1UpQGttcNXMB2j9Q,2010-04-10T10:58:18.000Z,VVVMNEoyMFkxVXBRR3R0Y05YTUIyajlRLmVLdGpOSEVlcFI4,Feedback - Seasons (1994),,,
UCL4J20Y1UpQGttcNXMB2j9Q,2010-04-10T11:20:25.000Z,VVVMNEoyMFkxVXBRR3R0Y05YTUIyajlRLjc4SDN4eERmUzg0,Naghachian II - Down (Survival Edit),,,
UCL4J20Y1UpQGttcNXMB2j9Q,2010-04-11T13:00:57.000Z,VVVMNEoyMFkxVXBRR3R0Y05YTUIyajlRLmN1c2IyV0RBX2o0,Pulse - Soul Hunter (Secret Knowledge Remix),,,
UCL4J20Y1UpQGttcNXMB2j9Q,2010-04-11T17:12:28.000Z,VVVMNEoyMFkxVXBRR3R0Y05YTUIyajlRLlJ1S2Vwam5oMFZr,Emojonal - Silence Of Water (1992),,,
UCL4J20Y1UpQGttcNXMB2j9Q,2010-04-11T17:27:52.000Z,VVVMNEoyMFkxVXBRR3R0Y05YTUIyajlRLk9FMHVBQ1Z2ZWlN,Joel Mull - Musiq (1997),,,
UCL4J20Y1UpQGttcNXMB2j9Q,2010-04-13T00:50:49.000Z,VVVMNEoyMFkxVXBRR3R0Y05YTUIyajlRLkpscjBYVGxQU3o4,Tons Of Tones - Sheherezade (Funk D'Void Remix),,,
UCL4J20Y1UpQGttcNXMB2j9Q,2010-04-13T01:05:25.000Z,VVVMNEoyMFkxVXBRR3R0Y05YTUIyajlRLnhla0pGbkx3WEVn,Highrise - Hope For Peace (2002),,,
UCL4J20Y1UpQGttcNXMB2j9Q,2010-04-13T01:17:56.000Z,VVVMNEoyMFkxVXBRR3R0Y05YTUIyajlRLkQyeGxYRXd6aElz,Alexander Kowalski - Expression (2002),,,
UCL4J20Y1UpQGttcNXMB2j9Q,2010-04-13T01:36:16.000Z,VVVMNEoyMFkxVXBRR3R0Y05YTUIyajlRLnJDRE0xN2xyTmlF,Tons Of Tones - The Meaning Of Life (1994),,,
